experiencia,tipoDeCultivador,educacionAlRespecto,plantasEnRotacionNro,numeroDePlantas,cultivador_rating,lat,lon,DLITotal,DLIGerminacionClonacion,DLIPlantin,DLIVegetativo,DLIPreFloracion,DLIFloracion,haceGerminacion_True,geneticaPheno_Hybrid,geneticaPheno_Indica,geneticaPheno_Sativa,geneticaPhoto_Auto,geneticaPhoto_Hybrid,geneticaPhoto_Photoperiod,dias_germinacion_clonacion,dias_plantin,dias_vegetativo,dias_prefloracion,dias_floracion,total_dias_cultivo,cluster,yield_Baja,yield_Media,yield_Alta
0.0,1.0,0.0,9.0,9.0,0.112,-33.6745795,-65.4617562,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,1,0
0.0,1.0,0.0,9.0,4.0,0.112,-33.6745795,-65.4617562,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,0,1
0.0,1.0,0.0,9.0,4.0,0.112,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,0,1
0.0,1.0,0.0,9.0,4.0,0.112,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,0,1
0.0,1.0,0.0,9.0,4.0,0.112,-33.6745795,-65.4617562,4266.0,96.0,272.0,1500.0,450.0,1948.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,0,1
2.0,1.0,1.0,4.0,3.0,0.33866666666666667,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,0.0,1,0,0
2.0,1.0,1.0,4.0,3.0,0.33866666666666667,-33.67722,-65.4825192,2918.5,60.0,16.0,945.0,187.5,1710.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,0.0,1,0,0
2.0,1.0,1.0,4.0,3.0,0.33866666666666667,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,0.0,1,0,0
2.0,1.0,1.0,4.0,4.0,0.33866666666666667,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,29.0,7.0,60.0,105.0,0.0,1,0,0
2.0,1.0,1.0,4.0,4.0,0.33866666666666667,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,29.0,7.0,60.0,105.0,0.0,1,0,0
2.0,1.0,1.0,4.0,4.0,0.33866666666666667,-33.6745795,-65.4617562,3652.5,60.0,64.0,985.0,263.5,2280.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,29.0,7.0,60.0,105.0,0.0,1,0,0
2.0,1.0,1.0,4.0,4.0,0.33866666666666667,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,29.0,7.0,60.0,105.0,0.0,1,0,0
4.0,1.0,2.0,10.0,7.0,0.5800000000000001,-42.7729674,-65.0366104,3263.0,60.0,224.0,995.0,315.0,1669.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,14.0,28.0,7.0,42.0,96.0,0.0,1,0,0
4.0,1.0,2.0,10.0,4.0,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,0,1
4.0,1.0,2.0,10.0,5.0,0.5800000000000001,-42.7729674,-65.0366104,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,0,1
4.0,1.0,2.0,10.0,5.0,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,0,1
4.0,1.0,2.0,10.0,5.0,0.5800000000000001,-42.7729674,-65.0366104,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,1,0
4.0,1.0,2.0,10.0,5.0,0.5800000000000001,-42.7729674,-65.0366104,5004.5,120.0,336.0,1890.0,528.0,2130.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,21.0,56.0,14.0,56.0,157.0,2.0,0,0,1
4.0,1.0,2.0,10.0,5.0,0.5800000000000001,-42.7729674,-65.0366104,4266.0,96.0,272.0,1500.0,450.0,1948.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,1,0
4.0,1.0,2.0,10.0,3.0,0.5800000000000001,25.9426915,-80.1218486,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0.0,0,1,0
